DIRECTORIO,CANT_HOG_COMPLETOS,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,P1070,P4005,P4015,P4567,P8520,P8520S1,P8520S1A1,P8520S3,P8520S4,P8520S4A1,P8520S5,P4065,P4065S1,P4065S2,P4065S3,P4065S4,P5661,P5661S1,P5661S2,P5661S3,P5661S4,P5661S5,P5661S6,P5661S7,P5661S9,P1891,P1891S1,P1891S2,P1891S3,P1891S4,P1891S5,FEX_C,CLASE
6000000,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,4,1,1,4,1, ,2,2,1,2,2,2246,29287409386
6000001,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,3,3,2,2,3,2, ,1,1,1,1,1,2866,7522374918
6000002,1,1,1,1,2,1,6,3, ,1,1,1,1,3,1, ,1,2,2,2, ,2,3,2,2,2,3,4,3, ,1,1,1,1,1,2851,50229401111
6000003,1,1,1,1,2,1,6,3, ,1,1,1,1,3,1, ,1,2,2,2, ,2,3,3,3,2,3,4,3, ,1,1,1,1,1,2870,1398177933
6000005,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,2,1,4,2,1, ,1,2,1,2,2,2252,8576889304
6000006,1,1,1,1,2,1,4,3, ,1,1,1,1,3,1, ,1,2,2,2, ,3,3,4,4,4,3,4,4, ,1,2,1,2,2,2090,10329084383
6000008,1,1,1,1,1,1,6,3, ,1,1,1,1,3,1, ,2,2,2,2, ,4,3,3,3,2,4,2,2, ,1,1,1,1,1,2270,38111641433
6000009,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,1,4,1,1,1,1,2,1, ,1,1,1,2,2,2273,21683985532
6000010,1,1,1,1,1,1,4,3, ,1,1,1,1,3,1, ,2,2,2,2, ,2,4,4,4,1,1,4,1, ,1,1,2,2,2,2241,36340541398
6000011,1,1,1,1,1,1,4,1, ,1,3,1,1,2,1, ,2,2,2,2, ,4,1,1,2,1,4,2,1, ,2,1,2,2,2,2206,31376084916
6000012,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,3,2,1,3,1,3,4,1, ,2,2,2,2,2,1848,71475370233
6000013,1,1,1,1,1,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,3,1,1,1,2,1, ,2,2,2,2,2,1655,7689079334
6000015,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,1,1,1,3,1,1,1,1, ,2,2,2,2,2,2934,72190999767
6000016,1,1,1,1,1,1,4,1, ,1,3,1,1,3,1, ,2,2,2,2, ,1,2,2,1,2,2,3,1, ,2,2,2,2,2,1788,83434331794
6000017,1,1,1,1,1,1,4,3, ,1,3,1,1,3,1, ,2,2,2,2, ,4,1,1,1,1,1,2,1, ,2,2,2,2,2,1820,77727583771
6000019,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,1,2,1,2,2340,15072814838
6000020,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,3,1,1,1,1,1,4,1, ,1,2,2,2,2,2105,36514784542
6000021,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,1,4,1,1,1,2,1, ,1,2,1,2,2,2721,38696829907
6000022,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,4,1,1, ,2,1,1,1,2,108,46912925121
6000023,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,1,1,1,1,2,1, ,2,1,2,2,2,91,5.28416E+12
6000024,1,1,1,1,2,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,1,1,1,2,1, ,2,2,2,2,2,91,5.28416E+12
6000025,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,2,1,1,1,3,2,1, ,1,2,2,2,2,172,7.46763E+11
6000026,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,2,2,3,1,1,2,1, ,2,2,2,2,2,214,96401688913
6000027,2,1,1,1,1,3,7,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,4,1,1,1,4,1, ,2,1,1,2,1,273,77427720977
6000028,1,1,1,1,1,3,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,1,1,1,1,2,140,3.09555E+11
6000029,1,1,1,1,2,1,4,4, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,2,2,2,2,2,137,2.61081E+11
6000030,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,343,4.89659E+11
6000031,1,1,1,1,1,1,6,4, ,1,1,1,1,3,1, ,2,2,1,1, ,1,3,3,3,2,3,4,1, ,1,2,2,1,1,97,8.78876E+12
6000032,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,2, ,2,2,2,2,2,1509,67559523903
6000033,1,1,1,1,2,1,6,1, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,2,1,1,1,1, ,2,2,2,2,2,1393,22888205779
6000034,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,2,2,1,2,1,1, ,2,2,2,2,2,901,1.89402E+11
6000035,1,1,1,1,2,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,2,1,2,2,1,2,2,1, ,2,2,2,2,2,1041,98126324301
6000036,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,1,1,2,2,2,1, ,2,2,2,2,2,854,9.94354E+11
6000037,1,1,1,1,2,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,2,1,2,2,1, ,2,2,2,2,2,399,24241311402
6000039,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,4,3,4,1,2,3,1, ,2,1,2,2,2,442,2.06118E+11
6000042,1,1,1,1,1,1,4,4, ,1,2,1,1,2,1, ,2,2,2,2, ,1,1,1,2,2,2,2,1, ,2,2,2,2,2,2533,19378375486
6000043,1,1,1,1,1,1,4,2, ,1,2,1,1,3,1, ,2,2,2,2, ,1,3,1,3,3,1,3,1, ,2,2,2,2,2,2446,56883372698
6000044,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,1,2,2,2,1,1,2,1, ,2,2,2,2,2,2886,80709162512
6000045,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,2,1,1,1,2,1, ,2,2,2,2,2,2409,22458228129
6000046,1,1,1,1,2,1,4,1, ,1,2,1,1,3,1, ,2,2,2,2, ,1,1,3,1,1,1,4,1, ,2,2,2,2,2,2732,11053676786
6000047,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,4,1,2,3,1,1,1,1, ,2,2,2,2,2,2814,52958604635
6000048,2,1,1,1,2,1,4,2, ,1,2,1,1,3,1, ,2,2,2,2, ,2,2,2,2,2,2,2,1, ,1,1,1,2,2,2119,93108914143
6000049,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,2,1,2,1,1,1, ,2,2,2,2,2,1896,6395410426
6000050,1,1,1,1,2,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2389,9896144105
6000051,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,1,1,1, ,2,2,2,2,2,2918,48042682157
6000052,1,1,1,1,1,1,4,1, ,1,1,1,1,3,1, ,2,2,2,2, ,1,1,1,1,1,3,1,1, ,1,1,2,2,2,1611,55194865214
6000053,1,1,1,1,2,1,6,1, ,1,1,1,1,3,1, ,2,2,2,2, ,2,1,1,1,1,1,1,1, ,1,2,2,2,2,2347,70059775214
6000054,1,1,1,1,1,1,4,3, ,1,2,1,1,3,1, ,2,2,2,2, ,2,1,1,1,2,2,2,1, ,2,2,2,2,2,2157,382600729
6000055,1,1,1,1,1,1,4,3, ,1,1,2,1,3,1, ,2,2,2,2, ,1,2,1,1,1,1,1,1, ,2,2,2,2,2,1844,38940895651
